"id";"ll_author_id";"nl_author_id";"born_date";"author_name"
126;81072;0;"-1724657911";"Роберт Янг"
127;363967;0;"295027277";"Шэрон Кэмерон"
128;195231;0;"-146735922";"Карин Мюллер"
129;5208;0;"-1882424311";"Джон Кэмпбелл"
130;155621;0;"-2103349111";"Маргерит Юрсенар"
131;124878;0;"-1566805111";"Анатолий Левандовский"
132;313441;0;"-2197957111";"Михаил Гершензон"
133;605770;0;"42566477";"Георгий Смородинский"
134;215519;0;"-1535270320";"Айвен Саутолл"
135;353904;0;"-683193520";"Ио Сакисака"
136;509369;0;"105724879";"Екатерина Сиванова"
137;192274;0;"-1787729909";"Ричард Нэш"
138;312496;0;"-1566805109";"Иван Кожедуб"
139;120392;0;"-1314345520";"Юрий Иванов"
140;699117;0;"231955279";"Павел Белянский"
141;665719;0;"-430732720";"Николай Иванов"
142;103960;0;"-967276719";"Норман Дэвис"
143;212519;0;"-4880332719";"Эли Берте (Бертэ)"
144;314191;0;"74188880";"Ярослав Рудиш"
145;194417;0;"-2702793519";"Александра Толстая"
146;437832;0;"-3239337519";"Фрэнк Ллойд Райт"
147;336972;0;"-588585519";"Моника Фет"
148;235010;0;"-746351919";"Элизабет Энн Линн"
149;344464;0;"-1314345519";"Кейт Вильгельм"
150;156259;0;"11030480";"Протоиерей Алексий Мокиевский"
151;141374;0;"-209894318";"Карен Кингсбери"
152;10448;0;"-2418796718";"Мария Пуйманова"
153;158808;0;"-2292566318";"Джон Годолфин Беннетт"
154;357572;0;"42566481";"Надежда Мирошниченко"
155;232472;0;"-2545027118";"Арсений Несмелов"
156;180702;0;"-525427118";"Петр Кожевников"
157;167113;0;"-1440575918";"Марк Еленин (Чехановец)"
158;150574;0;"-1850888307";"Михаил Юдович"
159;252181;0;"-1188115118";"Диана Тевекелян"
160;29451;0;"-5038099116";"Роберт Шуман"
161;14210;0;"-1693035505";"Фрэнсис Крик"
162;5041;0;"-4343788716";"Александр Аксаков"
163;731098;0;"-209894316";"Лутц Зайлер"
164;644261;0;"-2892182316";"Архиепископ Варлаам (Ряшенцев)"
165;600738;0;"-2008654705";"Айн Кальмус"
166;431578;0;"926175683";"Стейси Смит"
167;296576;0;"-872585916";"Эндрю Вейл"
168;174597;0;"-2450332716";"Сергей Третьяков"
169;708561;0;"-1125043115";"Видое Подгорец"
170;590012;0;"74188884";"Александр Красовицкий"
171;526865;0;"-1061884715";"Юозас Апутис"
172;412963;0;"-1251273515";"Роберт Ауман"
173;360184;0;"-2324102315";"Саид Нафиси"
174;330018;0;"-841046315";"Невил Исделл"
175;121100;0;"-1314345515";"Юрий Иванов"
176;2555;0;"-367660715";"Эжен Щедрин"
177;159562;0;"-1282723113";"Юрий Манн"
178;105718;0;"-430646313";"Патрисия Корнуэлл"
179;124192;0;"-840959913";"Джо Холдеман"
180;13490;0;"-1408953513";"Кейт Лаумер"
181;221597;0;"-493804713";"Грегори Магвайр"
182;185088;0;"-2103262702";"Мария Прилежаева"
183;117011;0;"-272879913";"Вольфрам Флейшгауэр"
184;102879;0;"105811286";"Алексей Васильев"
185;228792;0;"-2260943913";"Курцио Малапарте"
186;517821;0;"168883288";"Сара Раттаро"
187;171673;0;"-746265511";"Джеймс Келман"
188;103845;0;"-1661413100";"Эрик Хобсбаум"
189;335857;0;"-1251187111";"Зденек Карел Слабый"
190;156981;0;"-2734329511";"Фёдор Гладков"
191;244323;0;"-525340711";"Елена Николаева"
192;300386;0;"-1345881511";"Георгий Балл"
193;236681;0;"-178185511";"Мартина Хааг"
194;14519;0;"-1251187111";"Лин Картер"
195;111461;0;"74275289";"Мария Степанова"
196;235444;0;"-2197870699";"Жозе Гомес Феррейра"
197;531621;0;"295113689";"Эрика Стивенс"
198;30615;0;"-209807910";"Гилад Атцмон"
199;313495;0;"-1692949099";"Юрий Брезан"
200;165510;0;"452962889";"Михаил Высоцкий"
201;215223;0;"-2071640299";"Валентин Овечкин"
202;229848;0;"-399110310";"Марк Алмонд"
203;29181;0;"-3617942310";"Владимир Чиж"
204;12990;0;"-1566718698";"Марсель Райх-Раницкий"
205;429481;0;"326736090";"Елена Георгиевская"
206;287507;0;"-4438396709";"Николай Федоров"
207;322588;0;"-777801509";"Сьюзан Свон"
208;229088;0;"168883290";"Андрей Ашкеров"
209;17208;0;"-4091241509";"Акакий Церетели"
210;155546;0;"-620035109";"Юрий Щекочихин"
211;575015;0;"-1440489509";"Марэн Фрейденберг"
212;525976;0;"-336038309";"Маркус Чаун"
213;19896;0;"-5353545507";"Прасковья Анненкова"
214;307293;0;"-2450246307";"Александр Лебеденко"
215;306531;0;"-967190307";"Charles Webb"
216;683698;0;"-20419107";"Сергей Трояновский"
217;233209;0;"-777801507";"Бетти Махмуди"
218;211247;0;"-2923631907";"Титта Руффо"
219;114948;0;"-1692949096";"Роберт Стрейндж Макнамара"
220;629235;0;"484498892";"Алексей Кангин"
221;325603;0;"-367574307";"Алесь Камоцкi"
